Race,Race Code,Deaths,Population,Crude Rate
American Indian or Alaska Native,1002-5,1852,40622645,4.6
Asian or Pacific Islander,A-PI,2617,173982971,1.5
Black or African American,2054-5,11162,398269776,2.8
White,2106-3,180220,2253794943,8
