Race,Race Code,Deaths,Population,Crude Rate
American Indian or Alaska Native,1002-5,3368,40622645,8.3
Asian or Pacific Islander,A-PI,4619,173982971,2.7
Black or African American,2054-5,77934,398269776,19.6
White,2106-3,233318,2253794943,10.4
