case,location,date,total_victims,race,gender,latitude,longitude,type,year
Hotel shooting,"Tampa, Florida",12/30/99,8,Latino,Male,27.966479,-82.570586,Spree,1999
Xerox killings,"Honolulu, Hawaii",11/2/99,7,Asian,Male,21.320063,-157.876462,Spree,1999
Wedgwood Baptist Church shooting,"Fort Worth, Texas",9/15/99,15,white,Male,32.664511,-97.384246,Mass,1999
Atlanta day trading spree killings,"Atlanta, Georgia",7/29/99,22,white,Male,33.850116,-84.377839,Mass,1999
Columbine High School massacre,"Littleton, Colorado",4/20/99,37,white,Male,39.604034,-105.074103,Mass,1999
Thurston High School shooting,"Springfield, Oregon",5/21/98,29,white,Male,44.0462362,-123.0220289,Mass,1998
Westside Middle School killings,"Jonesboro, Arkansas",3/24/98,15,white,Male,35.8209895,-90.6682606,Mass,1998
Connecticut Lottery shooting,"Newington, Connecticut",3/6/98,6,white,Male,41.6856325,-72.72983827,Mass,1998
Caltrans maintenance yard shooting,"Orange, California",12/18/97,7,Latino,Male,33.7877944,-117.8531119,Spree,1997
R.E. Phelon Company shooting,"Aiken, South Carolina",9/15/97,7,black,Male,33.5598586,-81.721952,Mass,1997
Fort Lauderdale revenge shooting,"Fort Lauderdale, Florida",2/9/96,7,black,Male,26.119269,-80.104119,Spree,1996
Walter Rossler Company massacre,"Corpus Christi, Texas",4/3/95,6,unclear,Male,27.828025,-97.548198,Mass,1995
Air Force base shooting,"Fairchild Air Force Base, Washington",6/20/94,28,white,Male,47.61864486,-117.6483587,Mass,1994
Chuck E. Cheese's killings,"Aurora, Colorado",12/14/93,5,black,Male,39.675599,-104.844845,Mass,1993
Long Island Rail Road massacre,"Garden City, New York",12/7/93,25,black,Male,40.7267682,-73.6342955,Spree,1993
Luigi's shooting,"Fayetteville, North Carolina",8/6/93,12,white,Male,35.0529931,-78.8787058,Mass,1993
101 California Street shootings,"San Francisco, California",7/1/93,15,white,Male,37.792968,-122.397973,Mass,1993
Watkins Glen killings,"Watkins Glen, New York",10/15/92,5,white,Male,42.3810555,-76.8705777,Mass,1992
Lindhurst High School shooting,"Olivehurst, California",5/1/92,14,white,Male,39.07868761,-121.5475762,Mass,1992
Royal Oak postal shootings,"Royal Oak, Michigan",11/14/91,10,white,Male,42.4894801,-83.1446485,Mass,1991
University of Iowa shooting,"Iowa City, Iowa",11/1/91,7,Asian,Male,41.6606893,-91.5302214,Spree,1991
Luby's massacre,"Killeen, Texas",10/16/91,44,white,Male,31.1171194,-97.7277959,Mass,1991
GMAC massacre,"Jacksonville, Florida",6/18/90,14,black,Male,30.3321838,-81.655651,Mass,1990
Standard Gravure shooting,"Louisville, Kentucky",9/14/89,21,white,Male,38.2542376,-85.759407,Mass,1989
Stockton schoolyard shooting,"Stockton, California",1/17/89,35,white,Male,37.9577016,-121.2907796,Mass,1989
ESL shooting,"Sunnyvale, California",2/16/88,11,white,Male,37.3688301,-122.0363496,Mass,1988
Shopping centers spree killings,"Palm Bay, Florida",4/23/87,20,white,Male,28.0331886,-80.6429695,Spree,1987
United States Postal Service shooting,"Edmond, Oklahoma",8/20/86,21,white,Male,35.6672015,-97.42937037,Mass,1986
San Ysidro McDonald's massacre,"San Ysidro, California",7/18/84,41,white,Male,32.5520013,-117.0430813,Mass,1984
Dallas nightclub shooting,"Dallas, Texas",6/29/84,7,white,Male,32.925166,-96.838676,Mass,1984
Welding shop shooting,"Miami, Florida",8/20/82,11,white,Male,25.796491,-80.226683,Mass,1982
